County,Date,Deaths,Case,Vehicles
QUEENS (81),2015-07-12,1,360414,1
KINGS (47),2015-07-13,1,360417,3
NEW YORK (61),2015-07-17,1,360424,1
QUEENS (81),2015-07-18,1,360428,2
QUEENS (81),2015-07-19,1,360438,2
NEW YORK (61),2015-05-14,1,360440,1
KINGS (47),2015-05-16,1,360441,1
RICHMOND (85),2015-07-20,1,360442,1
KINGS (47),2015-05-19,1,360443,1
NEW YORK (61),2015-06-01,1,360444,1
KINGS (47),2015-06-11,1,360445,1
NEW YORK (61),2015-06-15,1,360446,1
QUEENS (81),2015-05-31,1,360454,2
QUEENS (81),2015-07-24,1,360455,2
RICHMOND (85),2015-07-26,1,360479,1
QUEENS (81),2015-07-28,1,360483,1
RICHMOND (85),2015-08-02,1,360492,2
BRONX (5),2015-08-03,1,360500,1
QUEENS (81),2015-08-05,1,360505,2
KINGS (47),2015-08-05,1,360506,1
QUEENS (81),2015-08-08,1,360507,3
QUEENS (81),2015-08-07,1,360508,1
KINGS (47),2015-08-09,1,360517,1
NEW YORK (61),2015-08-10,1,360518,1
QUEENS (81),2015-08-10,1,360521,4
QUEENS (81),2015-05-04,1,360529,1
KINGS (47),2015-08-12,1,360531,1
RICHMOND (85),2015-08-16,1,360540,3
QUEENS (81),2015-08-19,1,360546,1
KINGS (47),2015-07-29,1,360558,1
KINGS (47),2015-08-20,1,360571,1
NEW YORK (61),2015-08-20,1,360574,1
QUEENS (81),2015-08-20,1,360575,1
BRONX (5),2015-08-01,1,360582,2
KINGS (47),2015-08-26,1,360596,1
QUEENS (81),2015-08-29,1,360605,1
KINGS (47),2015-09-06,1,360620,1
BRONX (5),2015-05-17,1,360628,1
QUEENS (81),2015-09-07,1,360630,3
NEW YORK (61),2015-02-18,1,360634,1
RICHMOND (85),2015-05-27,1,360637,1
QUEENS (81),2015-07-22,1,360639,2
RICHMOND (85),2015-08-17,1,360640,1
RICHMOND (85),2015-04-18,1,360641,1
KINGS (47),2015-08-19,1,360642,1
KINGS (47),2015-08-25,1,360643,1
BRONX (5),2015-09-12,1,360647,1
BRONX (5),2015-09-11,1,360648,1
KINGS (47),2015-09-12,1,360649,4
RICHMOND (85),2015-09-14,1,360655,1
BRONX (5),2015-09-14,1,360660,1
BRONX (5),2015-09-18,1,360673,1
NEW YORK (61),2015-09-21,1,360687,1
KINGS (47),2015-10-01,1,360703,1
BRONX (5),2015-09-27,1,360704,2
RICHMOND (85),2015-10-05,1,360709,1
QUEENS (81),2015-10-04,1,360710,1
RICHMOND (85),2015-10-05,1,360713,1
QUEENS (81),2015-10-06,1,360717,2
QUEENS (81),2015-10-06,1,360720,1
QUEENS (81),2015-10-08,1,360722,1
BRONX (5),2015-10-12,1,360723,2
KINGS (47),2015-10-13,1,360732,1
QUEENS (81),2015-10-14,1,360734,1
QUEENS (81),2015-10-17,1,360737,2
BRONX (5),2015-10-20,1,360738,1
RICHMOND (85),2015-09-24,1,360746,2
KINGS (47),2015-10-23,1,360767,1
KINGS (47),2015-10-23,1,360782,1
BRONX (5),2015-10-21,1,360784,2
QUEENS (81),2015-10-25,1,360789,1
QUEENS (81),2015-10-26,1,360790,1
BRONX (5),2015-10-31,3,360801,3
KINGS (47),2015-11-01,1,360806,1
KINGS (47),2015-11-03,1,360808,1
RICHMOND (85),2015-10-13,1,360813,1
QUEENS (81),2015-11-05,1,360815,1
QUEENS (81),2015-11-01,1,360816,1
BRONX (5),2015-11-05,1,360817,1
QUEENS (81),2015-11-07,1,360820,1
NEW YORK (61),2015-11-08,1,360821,1
NEW YORK (61),2015-11-06,1,360822,1
KINGS (47),2015-11-08,1,360832,1
QUEENS (81),2015-11-09,1,360834,2
RICHMOND (85),2015-11-09,1,360835,2
KINGS (47),2015-11-09,1,360848,2
KINGS (47),2015-11-09,1,360852,1
QUEENS (81),2015-08-29,1,360854,2
BRONX (5),2015-10-14,1,360858,1
QUEENS (81),2015-11-14,1,360862,1
KINGS (47),2015-11-16,1,360865,1
KINGS (47),2015-11-18,1,360868,1
KINGS (47),2015-11-18,1,360869,1
QUEENS (81),2015-11-21,1,360874,1
NEW YORK (61),2015-11-23,1,360877,1
QUEENS (81),2015-11-25,1,360879,1
KINGS (47),2015-11-25,1,360880,1
KINGS (47),2015-11-26,1,360883,7
QUEENS (81),2015-11-27,2,360886,2
KINGS (47),2015-12-01,1,360890,3
BRONX (5),2015-10-13,1,360893,1
NEW YORK (61),2015-12-02,1,360897,1
QUEENS (81),2015-12-02,1,360898,1
KINGS (47),2015-12-03,1,360900,1
KINGS (47),2015-11-30,1,360910,1
QUEENS (81),2015-12-06,1,360916,2
KINGS (47),2015-12-06,1,360918,1
BRONX (5),2015-12-07,1,360920,1
QUEENS (81),2015-12-08,1,360923,1
QUEENS (81),2015-12-07,1,360924,2
QUEENS (81),2015-12-06,1,360926,1
KINGS (47),2015-12-14,1,360937,1
QUEENS (81),2015-12-16,1,360940,2
RICHMOND (85),2015-12-15,1,360941,1
QUEENS (81),2015-12-16,1,360942,1
QUEENS (81),2015-12-12,1,360966,1
QUEENS (81),2015-12-18,1,360971,4
KINGS (47),2015-12-24,1,360979,1
KINGS (47),2015-12-23,1,360980,2
BRONX (5),2015-12-25,1,360981,2
QUEENS (81),2015-09-23,1,360986,1
KINGS (47),2015-10-14,1,361039,1
QUEENS (81),2015-11-01,1,361040,1
KINGS (47),2015-11-12,1,361041,1
RICHMOND (85),2015-11-27,1,361042,1
KINGS (47),2015-12-02,1,361043,1
BRONX (5),2015-12-01,1,361044,1
KINGS (47),2015-12-18,1,361045,1
BRONX (5),2016-01-04,1,360002,5
NEW YORK (61),2016-01-07,1,360005,1
NEW YORK (61),2016-01-08,1,360007,1
BRONX (5),2016-01-08,1,360008,3
BRONX (5),2016-01-11,1,360016,1
NEW YORK (61),2016-01-12,1,360018,1
KINGS (47),2016-01-10,1,360019,2
NEW YORK (61),2016-01-14,1,360021,1
RICHMOND (85),2016-01-15,1,360023,1
RICHMOND (85),2016-01-16,1,360026,1
RICHMOND (85),2016-01-16,1,360027,2
BRONX (5),2016-01-18,1,360028,1
KINGS (47),2016-01-19,1,360029,1
NEW YORK (61),2016-01-21,1,360035,1
QUEENS (81),2016-01-22,1,360036,1
KINGS (47),2016-01-28,1,360051,1
NEW YORK (61),2016-01-30,1,360054,2
KINGS (47),2016-02-03,1,360058,1
KINGS (47),2016-02-06,1,360060,2
KINGS (47),2016-02-05,1,360061,9
NEW YORK (61),2016-02-10,1,360062,1
QUEENS (81),2016-02-10,1,360065,1
NEW YORK (61),2016-02-11,1,360069,1
NEW YORK (61),2016-02-12,1,360070,1
RICHMOND (85),2016-02-16,1,360072,1
QUEENS (81),2016-02-20,2,360078,1
BRONX (5),2016-02-28,1,360080,1
KINGS (47),2016-02-28,1,360082,1
QUEENS (81),2016-02-07,1,360092,1
QUEENS (81),2016-02-28,1,360098,2
BRONX (5),2016-02-28,1,360100,1
NEW YORK (61),2016-02-29,1,360105,1
RICHMOND (85),2016-03-03,1,360106,1
BRONX (5),2016-03-06,1,360111,1
BRONX (5),2016-03-10,1,360112,1
NEW YORK (61),2016-03-15,1,360114,1
QUEENS (81),2016-02-10,1,360124,1
QUEENS (81),2016-03-11,1,360127,1
NEW YORK (61),2016-03-19,1,360140,1
QUEENS (81),2016-03-20,1,360141,1
BRONX (5),2016-03-26,1,360149,3
NEW YORK (61),2016-03-26,1,360152,1
BRONX (5),2016-02-28,1,360154,1
QUEENS (81),2016-04-05,1,360155,1
QUEENS (81),2016-04-06,1,360158,1
QUEENS (81),2016-04-07,1,360161,1
QUEENS (81),2016-03-11,1,360172,2
BRONX (5),2016-04-07,1,360182,1
QUEENS (81),2016-04-09,1,360188,2
RICHMOND (85),2016-04-12,1,360190,1
KINGS (47),2016-04-15,1,360191,1
QUEENS (81),2016-04-17,1,360195,1
KINGS (47),2016-04-20,1,360204,1
QUEENS (81),2016-04-20,1,360208,1
QUEENS (81),2016-03-06,1,360213,1
KINGS (47),2016-04-14,1,360216,1
BRONX (5),2016-04-27,1,360224,1
BRONX (5),2016-04-30,1,360227,2
NEW YORK (61),2016-05-01,1,360230,1
QUEENS (81),2016-05-02,1,360233,1
KINGS (47),2016-05-06,2,360234,1
QUEENS (81),2016-05-08,1,360237,1
KINGS (47),2016-05-09,1,360240,4
BRONX (5),2016-05-09,1,360242,1
KINGS (47),2016-05-10,1,360244,1
NEW YORK (61),2016-05-10,1,360245,2
KINGS (47),2016-04-20,1,360253,1
KINGS (47),2016-05-01,1,360256,4
BRONX (5),2016-05-16,1,360259,1
BRONX (5),2016-05-20,1,360267,2
BRONX (5),2016-05-22,1,360268,2
RICHMOND (85),2016-05-28,1,360285,1
KINGS (47),2016-05-24,1,360289,1
QUEENS (81),2016-05-29,1,360295,2
NEW YORK (61),2016-05-31,1,360298,1
NEW YORK (61),2016-06-05,1,360318,1
